Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,"0.47u/100V","Capacitors_THT:C_Disc_D16.0mm_W5.0mm_P10.00mm",""
C3 C4 ,2,"100u/100V","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
C5 C6 ,2,"470u/35V","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
C7 ,1,"47u/100V","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
C8 ,1,"10u/250V","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
CON1 ,1,"15VDC Adapter","Connectors:BARREL_JACK",""
D1 D2 ,2,"SHORT","",""
D3 D4 ,2,"1N5819","",""
D5 ,1,"1N4002","",""
H1 H2 H3 H4 ,4,"MECHANICAL_HOLE","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via",""
HS1 HS2 HS3 HS4 HS5 HS6 ,6,"HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
J1 J2 ,2,"JACK_TRS_6PINS","Connectors:PINHEAD1-6",""
J3 J4 ,2,"JACK_TRS_5PINS","JACK_TRS_5PINS",""
Q1 Q2 ,2,"IRF530","Power_Integrations:TO-220",""
Q3 ,1,"A684","",""
R1 R2 ,2,"100k","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
R11 ,1,"2k7","",""
R12 ,1,"330","",""
R13 ,1,"47k","",""
R3 R4 ,2,"120","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
R5 R6 ,2,"10ohm/5W","Resistors_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
R7 R8 ,2,"1k","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
R10 R9 ,2,"8ohm/5,6ohm/5W","Resistors_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
SW1 ,1,"SW_SPDT","SW_SPDT_90",""
TP1 TP2 ,2,"TEST_1P","Wire_Pads:SolderWirePad_single_1mmDrill",""
U1 ,1,"12AU7","Valves:VALVE-ECC-83-2",""
U2 U3 U5 ,3,"LM317_TO220","Power_Integrations:TO-220",""
U4 ,1,"LM317_SOT223","",""
VR1 ,1,"10k","Potentiometers:Potentiometer_Alps_RK163_Double_Vertical",""
VR3 VR4 ,2,"50k","Potentiometers:Potentiometer_Bourns_3296Y_3-8Zoll_Angular_ScrewUp",""